2019-11-13 20:54:24 INFO  LogLog4j:41 - -- HomePageHelper: waitUntilPageIsLoaded() was started
2019-11-13 20:54:24 INFO  LogLog4j:41 - -- Wait until loginIcon element is clickable
2019-11-13 20:54:24 INFO  LogLog4j:41 - -- Wait until all events are visible
2019-11-13 20:54:25 INFO  LogLog4j:15 - 
2019-11-13 20:54:25 INFO  LogLog4j:16 - 
2019-11-13 20:54:25 INFO  LogLog4j:17 - *******************************************************************
2019-11-13 20:54:25 INFO  LogLog4j:18 -                    Test Case: singleFilterHolidaysBy, TestData: holiday - Circumcision
2019-11-13 20:54:25 INFO  LogLog4j:19 - *******************************************************************
2019-11-13 20:54:25 INFO  LogLog4j:41 - -- HomePageHelper: filterEventsByHoliday(Circumcision) was started
2019-11-13 20:54:25 INFO  LogLog4j:41 - -- To wait that select-element (filter by holiday) and all options are loaded 
2019-11-13 20:54:25 INFO  LogLog4j:41 - -- Choose filter by holiday Circumcision
2019-11-13 20:54:25 INFO  LogLog4j:41 - -- To wait that clearFilterButton element is clickable
2019-11-13 20:54:26 INFO  LogLog4j:41 - ------ To wait that filter by holiday Circumcisionis chosen -----
2019-11-13 20:54:26 INFO  LogLog4j:41 - -- To wait that all events are loaded ---
2019-11-13 20:54:26 INFO  LogLog4j:41 - -- HomePageHelper: allEventsBelongToHoliday() was started for holiday-Circumcision
2019-11-13 20:54:27 INFO  LogLog4j:41 - -- @AfterMethod-- tearDown() was started
2019-11-13 20:54:28 INFO  LogLog4j:41 - -- @BeforeMethod-- initWebDriver() was started
2019-11-13 20:54:28 INFO  LogLog4j:41 - - driver was defined
2019-11-13 20:54:31 INFO  LogLog4j:41 - - System was opened by url - https://mishpahug.co.il/
2019-11-13 20:54:37 INFO  LogLog4j:41 - - Open browser, fullscreen
2019-11-13 20:54:38 INFO  LogLog4j:41 - - IntoPage was initialized
2019-11-13 20:54:38 INFO  LogLog4j:41 - - IntroPage: --waitUntilPageLoaded() was started
2019-11-13 20:54:38 INFO  LogLog4j:41 - - IntroPage: -- closeIntroPage() (close by X button) was started
2019-11-13 20:54:39 INFO  LogLog4j:41 - -- HomePageTests - @BeforeMethod - initTests() was started
2019-11-13 20:54:39 INFO  LogLog4j:41 - --- HomePage was loaded--
2019-11-13 20:54:39 INFO  LogLog4j:41 - -- HomePageHelper: waitUntilPageIsLoaded() was started
2019-11-13 20:54:39 INFO  LogLog4j:41 - -- Wait until loginIcon element is clickable
2019-11-13 20:54:39 INFO  LogLog4j:41 - -- Wait until all events are visible
2019-11-13 20:54:40 INFO  LogLog4j:15 - 
2019-11-13 20:54:40 INFO  LogLog4j:16 - 
2019-11-13 20:54:40 INFO  LogLog4j:17 - *******************************************************************
2019-11-13 20:54:40 INFO  LogLog4j:18 -                    Test Case: singleFilterHolidaysBy, TestData: holiday - Wedding
2019-11-13 20:54:40 INFO  LogLog4j:19 - *******************************************************************
2019-11-13 20:54:40 INFO  LogLog4j:41 - -- HomePageHelper: filterEventsByHoliday(Wedding) was started
2019-11-13 20:54:40 INFO  LogLog4j:41 - -- To wait that select-element (filter by holiday) and all options are loaded 
2019-11-13 20:54:40 INFO  LogLog4j:41 - -- Choose filter by holiday Wedding
2019-11-13 20:54:41 INFO  LogLog4j:41 - -- To wait that clearFilterButton element is clickable
2019-11-13 20:54:41 INFO  LogLog4j:41 - ------ To wait that filter by holiday Weddingis chosen -----
2019-11-13 20:54:41 INFO  LogLog4j:41 - -- To wait that all events are loaded ---
2019-11-13 20:54:42 INFO  LogLog4j:41 - -- HomePageHelper: allEventsBelongToHoliday() was started for holiday-Wedding
2019-11-13 20:54:42 INFO  LogLog4j:41 - -- @AfterMethod-- tearDown() was started
